Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Education,E-1-09,E1.1 Equal Access,Number of education kits required in affected area,,,N/A,"By geographic location ( ie administrative boundary),  Kit type (School kits, recreation kits, teacher kits, student kits, sanitation kits), School type (sex/primary, secondary, tertiary),",No,Yes,# of education kits required in affected area,,INEE,,Specific to Country,Baseline,Kits,
Education,E-1-10,E1.1 Equal Access,Percentage and number of affected Schools/learning spaces provided education kits,,Facility,Total number of affected schools/learning spaces,"By geographic location ( ie administrative boundary),  Kit type (School kits, recreation kits, teacher kits, student kits, sanitation kits), School type (sex/primary, secondary, tertiary), number of kits per school",Yes,Yes,Number of affected Schools/learning spaces  provided education kits,,INEE,,Specific to Country,Output,Schools/Learning Spaces,
Education,E-1-11,E1.2 Facilities and services,Number and percentage of emergency affected children (3-18 years) accessing to emergency education programmes that incorporate health interventions,,Individual,Total # of affected children (3-18 years),"by geographic location ( ie administrative boundary), type of school/learning space (sex/primary, secondary, tertiary), # children by age and sex",Yes,No,# of affected children (3-18 years) with access to emergency education programmes that incorporate health interventions in affected areas,,"INEE, Sphere Health chapter",,Specific to Country,"Baseline, Outcome, Output",Children,
Education,E-1-12,E1.2 Facilities and services,Percentage of learning spaces/schools with adequate male and female WASH facilities in affected areas,,Facility,Total # of affected schools/ learning spaces,"by geographic location ( ie administrative boundary), type of school/learning space (sex/primary, secondary, tertiary), WASH facility male and female  (# of latrine doors for m/f)",No,Yes,# of affected schools/learning spaces with adequate male and female WASH facilities,,"INEE, Sphere WASH chapter",,Specific to Country,"Baseline, Outcome",Schools/ Learning spaces,
Education,E-1-13,E1.2 Facilities and services,Percentage of learning spaces/schools provided with adequate male and or female WASH facilities in affected areas,,Facility,Total # of affected schools/learning spaces needing adequate male and or female WASH facilities,"by geographic location ( ie administrative boundary), type of school/learning space (sex/primary, secondary, tertiary), WASH facility male and female  (# of latrine doors for m/f)",Yes,Yes,# of affected schools/learning spaces with adequate male and or female WASH facilities constructed/ rehabilitated,,"INEE, Sphere WASH chapter",,Specific to Country,Output,Schools/ Learning spaces,
Education,E-1-14,E1.3 Protection and Well-being,Number and percentage of assessed formal and informal learning environments that are considered safe for boys and girls of different ages,,Facility,Total # of learning spaces assessed in affected area,"Geography  location ( ie. administrative boundary), type of learning space (sex/primary, secondary, tertiary)",Yes,No,# of affected school/learning spaces assessed safe and protective,,Child Protection,,Specific to Country,"Baseline, Outcome, Output",Schools/ Learning spaces,
Education,E-1-15,E1.3 Protection and Well-being,"Number of incidents where formal and informal education facilities, students, teachers and other education personnel have been attacked",,,n/a,Geographic Location ( ie administrative boundary); Type of incident/ date (time period); Type of Incident - Learning spaces/ Schools/ teachers/ students/ education personnel/Age/sex,Yes,Yes,"# of incidents where formal and informal education facilities, students, teachers and other education personnel have been attacked",,Child Protection,,Specific to Country,"Baseline, Outcome",attack incidents,
Education,E-1-16,E1.1 Equal Access,Percentage of schools/learning spaces  occupied by security forces in affected area,,Facility,Total # of School/ Learning Spaces in affected arrea,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,Yes,# of schools/ learning spaces occupied by security forces in affected area,,INEE,,Specific to Country,"Baseline, Outcome",Schools/ Learning spaces,
Education,E-1-17,E1.2 Facilities and services,Number and percentage of emergency affected children/youth (3-18 years) accessing to emergency education programmes that incorporate nutrition interventions,,Individual,Total # of affected children (3-18 years),"by geographic location (ie administrative boundary), age and sex, school type (sex/primary, secondary, tertiary), status of school facility (new, re-opened, damaged, unaffected),",Yes,No,# of affected children (3-18 years) with access to emergency education programmes that incorporate nutrition interventions,,"INEE, SPHERE Food security and nutrition chapter",,Specific to Country,"Baseline, Outcome, Output",Children,
Education,E-1-18,E1.2 Facilities and services,Percentage of affected schools/learning spaces with feeding programmes,,Facility,Total number of affected schools/learning spaces,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,Yes,Number of affected schools/learning spaces with feeding programs,,"INEE, SPHERE Food security and nutrition chapter",,Specific to Country,"Baseline, Outcome, Output",Schools/ Learning spaces,
Education,E-1-19,E1.2 Facilities and services,Percentage of schools/learning spaces structures that meet the mimumun safe construction standards,,Facility,Total number of schools/learning spaces in affected area,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,Yes,Number of school /learning space structures that meeting the minimum stafe construction standards in affected area,,INEE,,Specific to Country,"Baseline, Outcome, Output",Schools/ Learning spaces,
Education,E-1-20,E1.2 Facilities and services,Percentage of schools/learning spaces accessible for children with physical and or learning disabilities,,Facility,Total number of affected schools/learning space,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,Yes,Number of affected schools/learning spaces accessible for children with physical and or learning disabilities,,"INEE, SPHERE",,Specific to Country,"Baseline, Outcome, Output",Schools/ Learning spaces,
Education,E-1-21,E1.2 Facilities and services,Percentage of affected marganalised children (3-18 years) attending school?,,Individual,Total number of affected marganalised children (3-18 years) in affected area,"by geographic location (ie administrative boundary), age and sex, school type (sex/primary, secondary, tertiary)",Yes,Yes,Number of affected marganalised children (3-18 years) affending school,,"INEE, SPHERE",,Specific to Country,"Baseline, Outcome, Output",Children,
